Qubits num,Time 1,Time 2,Time 3,Time AVG,Log,Memory 1,Memory 2,Memory 3,Memory AVG
3,0.0001,0.00012,0.0001,0.00011,-13.18114072,-,-,-,
4,0.00023,0.00024,0.00023,0.00024,-12.05505162,-,-,-,
5,0.00058,0.00058,0.00059,0.00058,-10.74917422,-,-,-,
6,0.00182,0.00179,0.0018,0.0018,-9.115651634,-,-,-,
7,0.00626,0.00652,0.00641,0.00639,-7.288990332,-,-,-,
8,0.02289,0.02165,0.0222,0.02225,-5.490375091,0.0111,0.0112,0.0113,0.0112
9,0.06245,0.07161,0.05929,0.06445,-3.955645985,0.0517,0.0517,0.0517,0.0517
10,0.18904,0.18491,0.19218,0.18871,-2.405759768,0.2,0.2001,0.2001,0.2001
11,0.6258,0.62358,0.65025,0.63321,-0.65925165,0.7938,0.7941,0.7941,0.794
12,2.36767,2.34082,2.34075,2.34975,1.232505428,3.1694,3.1692,3.1692,3.1693
13,9.28525,9.25017,9.28338,9.27293,3.213025835,12.6699,12.6699,12.6699,12.6699
14,39.81977,37.23727,37.08597,38.04767,5.24973624,50.6708,50.6709,50.671,50.6709
